stim_type,jitter,background_freq,groups_period,group_size,groups_number,stim_time,on_time,is_manual_sequence,prob_stim,record_stage,output_group
Random,False,1,60,40,1,1,5,False,False,False,[]
Order,False,1,60,40,1,1,5,False,False,True,[]
Order,False,1,60,40,1,1,5,False,False,False,[]
Order,False,1,60,40,1,1,5,False,False,True,[]
