stim_type,jitter,background_freq,groups_period,group_size,groups_number,stim_time,on_time,is_manual_sequence,prob_stim,record_stage,output_group
Spontaneous,False,1,500,1,1,4,15,False,False,True,[]
Order,False,1,500,1,1,4,15,True,False,True,[]
Spontaneous,False,1,500,1,1,4,15,True,False,True,[]
