stim_type,jitter,background_freq,groups_period,group_size,groups_number,stim_time,on_time,is_manual_sequence,prob_stim,record_stage,output_group
Spontaneous,False,1,1000,12,1,5,15,True,False,True,[]
Order,False,1,330,1,1,2,15,True,False,True,[]
Order,False,1,330,1,1,116,15,True,False,False,[]
Order,False,1,330,1,1,2,15,True,False,True,[]
Spontaneous,False,1,1000,1,1,5,15,True,False,True,[]
Order,False,1,330,1,1,2,15,True,False,True,[]
Order,False,1,330,1,1,116,15,True,False,False,[]
Order,False,1,330,1,1,2,15,True,False,True,[]
Spontaneous,False,1,1000,1,1,5,15,True,False,True,[]
