stimType,jitter,backgroundFreq,stagePeriod,groupSize,groupsNumber,stimTime,onTime,isManualSequence,prob_stim
Random,False,1,2000,8,4,1,20,False,False
Random,False,1,3000,6,5,1,250,False,False
