stim_type,jitter,background_freq,groups_period,group_size,groups_number,stim_time,on_time,is_manual_sequence,prob_stim,record_stage,output_group
Spontaneous,False,1,500,1,1,5,17,True,False,True,[]
Order,False,1,500,1,1,5,17,True,False,True,[]
Order,False,1,500,1,1,55,17,True,False,False,[]
Spontaneous,False,1,500,1,1,5,17,True,False,True,[]
Order,False,1,500,1,1,5,17,True,False,True,[]
Order,False,1,500,1,1,55,17,True,False,False,[]
Spontaneous,False,1,500,1,1,5,17,True,False,True,[]
Order,False,1,500,1,1,5,17,True,False,True,[]
