stim_type,jitter,background_freq,groups_period,group_size,groups_number,stim_time,on_time,is_manual_sequence,prob_stim,record_stage,output_group
Order,False,1,500,12,1,1,20,True,False,True,[]
Spontaneous,False,1,500,12,1,1,20,True,False,True,[]
Order,False,1,1000,12,1,1,20,True,False,True,[]
